Jour,Chauffage & Climatisation,Éclairage,Appareils branchés,Réfrigération,Autres
1,0.5,0.2,0.4,0.6,0.3
2,0.6,0.1,0.6,0.5,0.2
3,0.4,0.3,0.4,0.7,0.2
4,0.7,0.2,0.7,0.4,0.2
5,0.5,0.1,0.5,0.6,0.3
6,0.827,0.310,0.931,0.517,0.315
7,0.6,0.2,0.7,0.7,0.2
8,0.7,0.3,0.6,0.6,0.4
9,0.5,0.2,0.4,0.5,0.2
10,0.6,0.1,0.6,0.4,0.2
11,0.975,0.433,1.083,0.867,0.442
12,0.7,0.3,0.7,0.6,0.4
13,0.5,0.2,0.5,0.5,0.2
14,0.6,0.1,0.5,0.7,0.2
15,0.865,0.324,0.873,0.873,0.413
16,1.085,0.482,1.03,1.205,0.296
17,0.7,0.3,0.8,0.8,0.3
18,0.6,0.2,0.6,0.6,0.3
19,0.5,0.1,0.4,0.5,0.2
20,0.6,0.2,0.6,0.7,0.3
21,0.4,0.1,0.4,0.4,0.1
22,0.5,0.0,0.2,0.3,0.1
23,0.3,0.0,0.1,0.2,0.0
24,0.7,0.3,0.7,0.6,0.3
25,0.6,0.2,0.6,0.5,0.2
26,1.045,0.523,1.254,1.150,0.457
27,0.8,0.4,0.9,0.9,0.3
28,0.7,0.3,0.8,0.8,0.3
29,1.166,0.636,1.484,1.272,0.318
30,0.9,0.4,1.0,1.0,0.4
