Jour,Chambre Principale,Chambre 1,Salon,Séjour,Cuisine,Garage,Autres
1,0.6,0.3,0.2,0.4,0.7,0.2,0.3
2,0.5,0.2,0.1,0.3,0.6,0.0,0.2
3,0.7,0.4,0.3,0.5,0.8,0.1,0.2
4,0.4,0.1,0.1,0.2,0.5,0.0,0.1
5,0.8,0.3,0.2,0.6,0.9,0.2,0.3
6,0.6,0.2,0.2,0.4,0.7,0.1,0.2
7,0.9,0.5,0.4,0.7,1.0,0.3,0.4
8,0.5,0.2,0.1,0.3,0.6,0.0,0.2
9,0.7,0.3,0.2,0.5,0.8,0.1,0.3
10,0.4,0.1,0.1,0.2,0.5,0.0,0.1
11,0.8,0.4,0.3,0.6,0.9,0.2,0.3
12,1.0,0.6,0.5,0.8,1.1,0.4,0.5
13,0.6,0.3,0.2,0.4,0.7,0.1,0.2
14,0.5,0.2,0.1,0.3,0.6,0.0,0.2
15,0.9,0.5,0.4,0.7,1.0,0.3,0.4
16,0.7,0.4,0.3,0.5,0.8,0.2,0.3
17,0.5,0.2,0.1,0.3,0.6,0.0,0.2
18,0.8,0.3,0.2,0.6,0.9,0.1,0.3
19,0.6,0.2,0.2,0.4,0.7,0.0,0.2
20,1.1,0.7,0.6,0.9,1.2,0.5,0.6
21,0.4,0.1,0.1,0.2,0.5,0.0,0.1
22,0.7,0.3,0.2,0.5,0.8,0.1,0.3
23,0.3,0.0,0.0,0.1,0.4,0.0,0.0
24,0.9,0.5,0.4,0.7,1.0,0.3,0.4
25,0.6,0.3,0.2,0.4,0.7,0.1,0.2
26,0.5,0.2,0.1,0.3,0.6,0.0,0.2
27,1.0,0.6,0.5,0.8,1.1,0.4,0.5
28,0.7,0.4,0.3,0.5,0.8,0.2,0.3
29,0.5,0.2,0.1,0.3,0.6,0.0,0.2
30,0.8,0.3,0.2,0.6,0.9,0.1,0.3
31,0.6,0.2,0.2,0.4,0.7,0.0,0.2
