Heure,Chauffage & Climatisation,Éclairage,Appareils branchés,Réfrigération,Autres
0,0.16,0.10,0.08,0.00,0.07
1,0.13,0.08,0.07,0.00,0.06
2,0.00,0.00,0.00,0.00,0.00
3,0.00,0.00,0.00,0.00,0.00
4,0.00,0.00,0.00,0.00,0.00
5,0.00,0.00,0.00,0.00,0.00
6,0.11,0.08,0.13,0.00,0.04
7,0.31,0.13,0.27,0.04,0.05
8,0.39,0.16,0.33,0.05,0.05
9,0.34,0.15,0.29,0.02,0.04
10,0.22,0.13,0.24,0.00,0.03
11,0.18,0.10,0.19,0.00,0.02
12,0.17,0.14,0.23,0.02,0.03
13,0.18,0.13,0.22,0.00,0.02
14,0.20,0.15,0.25,0.00,0.03
15,0.18,0.13,0.20,0.00,0.02
16,0.16,0.14,0.21,0.00,0.02
17,0.15,0.14,0.20,0.02,0.02
18,0.21,0.24,0.27,0.02,0.03
19,0.20,0.25,0.26,0.02,0.03
20,0.16,0.16,0.21,0.00,0.02
21,0.08,0.07,0.16,0.00,0.02
22,0.03,0.00,0.11,0.00,0.01
23,0.01,0.00,0.05,0.00,0.01
