Heure,Chambre Principale,Chambre 1,Salon,Séjour,Cuisine,Garage,Autres
0,0.12,0.04,0.01,0.09,0.08,0,0.07
1,0.1,0.03,0.01,0.07,0.07,0,0.06
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0
6,0.11,0.04,0.02,0.06,0.13,0,0.04
7,0.22,0.09,0.04,0.09,0.27,0.04,0.05
8,0.28,0.11,0.05,0.11,0.33,0.05,0.05
9,0.24,0.1,0.05,0.1,0.29,0.02,0.04
10,0.18,0.04,0.04,0.09,0.24,0,0.03
11,0.14,0.04,0.04,0.06,0.19,0,0.02
12,0.13,0.04,0.04,0.1,0.23,0.02,0.03
13,0.14,0.04,0.04,0.09,0.22,0,0.02
14,0.15,0.05,0.05,0.1,0.25,0,0.03
15,0.14,0.04,0.04,0.09,0.2,0,0.02
16,0.12,0.04,0.05,0.09,0.21,0,0.02
17,0.11,0.04,0.05,0.09,0.2,0.02,0.02
18,0.16,0.05,0.1,0.14,0.27,0.02,0.03
19,0.15,0.05,0.1,0.15,0.26,0.02,0.03
20,0.11,0.05,0.06,0.1,0.21,0,0.02
21,0.06,0.02,0.01,0.06,0.16,0,0.02
22,0.03,0,0,0,0.11,0,0.01
23,0.01,0,0,0,0.05,0,0.01
